repo,ip,uuid,mac,name,os,vendor,family,firmware,type,critical,high,medium,low
Default,192.168.0.1,,d8:47:32:dc:96:7c,,TP-LINK Archer_A10 1.0,,,,embedded,1,0,2,2
Default,192.168.0.100,,54:60:09:dc:ab:ae,,EthernetBoard OkiLAN 8100e,,,,general-purpose,0,0,7,0
Default,192.168.0.101,,02:09:dd:2e:d6:e9,storwize.dc.demo.io,Linux Kernel 4.15 on Ubuntu 18.04 (bionic),,,,general-purpose,0,1,1,0
Default,192.168.0.103,,7c:d9:5c:3c:e4:e2,opengearconsoleserver.dc.demo.io,,,,,general-purpose,0,0,6,0
Default,192.168.0.104,,d0:53:49:ff:f8:7d,opengearresiliencegateway.dc.demo.io,,,,,general-purpose,0,0,0,0
Default,192.168.0.105,,94:9a:a9:30:bf:83,merakimr20.dc.demo.io,,,,,unknown,0,0,0,0
Default,192.168.0.106,,b0:e4:d5:a5:23:cf,merakimx64.dc.demo.io,"Linux Kernel 3.2,Linux Kernel 3.3",,,,unknown,0,0,6,0
Default,192.168.0.107,,52:d4:f6:12:c1:5a,merakms120-8.dc.demo.io,"Linux Kernel 3.2,Linux Kernel 3.3",,,,general-purpose,1,0,1,2
Default,192.168.0.108,,f0:6d:78:a8:ee:a7,extreme440.dc.demo.io,,,,,embedded,0,0,0,0
Default,192.168.0.109,,52:d4:f6:82:ec:50,iosxrv432.dc.demo.io,,,,,router,1,0,0,0
Default,192.168.0.110,,60:c5:a8:77:41:e0,storwizesip.dc.demo.io,"EPSON Stylus Printer,Linksys Wireless Access Point,Oracle Integrated Lights Out Manager",,,,switch,0,0,0,0
Default,192.168.0.111,,b0:e4:d5:ae:0a:06,,,,,,unknown,0,0,6,0
Default,192.168.0.112,,,,,,,,,0,0,0,0
Default,192.168.0.114,,f0:18:98:79:22:f8,,Microsoft Windows 10,,,,unknown,0,0,2,0
Default,192.168.0.115,,d4:28:d5:38:14:ff,,,,,,,0,0,0,0
Default,192.168.0.116,,,,Darwin,,,,,0,0,0,0
Default,192.168.0.117,755e8660-1511-49b6-8d54-7f0d68a5db1b,bc:83:85:ce:ca:fe,oracledb11sol10.dc.demo.io,iPhone or iPad,,,,unknown,24,177,94,12
Default,192.168.0.118,,,,Linux Kernel 2.6,,,,,0,0,0,0
Default,192.168.0.119,,,,Linux Kernel 2.6,,,,,0,0,0,0
Default,192.168.0.120,,ac:ee:9e:6a:cd:98,,,,,,,0,0,0,0
Default,192.168.0.138,665ea7c7-0fb9-49d1-a882-5402621b018f,08:00:27:42:12:f9,,Linux Kernel 3.10.0-1127.19.1.el7.x86_64 on CentOS Linux release 7.8.2003 (Core),,,,general-purpose,1,5,18,3
Default,192.168.15.1,,00:50:56:a6:60:05,pfsense,pfSense,,,,firewall,1,0,7,0
Default,192.168.15.30,340e6ba3-5e14-453c-933b-8a18235e919a,00:50:56:a6:2d:03,se-nfs,Microsoft Windows Server 2019 Standard,,,,general-purpose,16,23,22,2
Default,192.168.15.38,8c4ca5dc-e1ea-4ce7-a76a-9a34bb0f67ab,00:50:56:a6:10:42,,Linux Kernel 3.10.0-957.12.1.el7.x86_64 on CentOS Linux release 7.6.1810 (Core),,,,general-purpose,2,27,57,6
Default,192.168.15.101,69d272a4-e00c-48c8-8b32-50bb9b2a9ab9,00:50:56:a6:5d:c9,se-dc1,Microsoft Windows Server 2019 Standard,,,,general-purpose,16,24,18,3
Default,192.168.15.102,a7d27bce-af8f-46b8-9b28-cd9c4d493dae,00:50:56:a6:46:0d,se-dc2,Microsoft Windows Server 2019 Standard,,,,general-purpose,16,24,18,2
Default,192.168.15.105,ac1ffb24-3cd0-428c-b683-2b4a7e0a2e3c,00:50:56:a6:23:80,,Linux Kernel 3.10.0-957.5.1.el7.x86_64 on CentOS Linux release 7.6.1810 (Core),,,,general-purpose,3,27,55,8
Default,192.168.15.106,,00:50:56:a6:39:c2,,Linux Kernel 2.6,,,,general-purpose,0,0,2,1
Default,192.168.15.109,16caa865-6bfb-41b5-af20-9865b9b8ef5f,00:50:56:a6:3a:d9,sccm,Microsoft Windows Server 2019 Standard,,,,general-purpose,14,21,50,0
Default,192.168.15.111,,00:50:56:a6:3a:de,,Linux Kernel 4.10 on Ubuntu 17.04 (zesty),,,,general-purpose,1,0,0,1
Default,192.168.15.122,1481c48c-3e86-4cbb-89b9-5dee79eebd32,00:50:56:a6:12:ee,nginx.demo.io,Linux Kernel 3.10.0-957.27.2.el7.x86_64 on CentOS Linux release 7.6.1810 (Core),,,,general-purpose,2,21,43,5
Default,192.168.15.124,43fc28b3-eaa4-4f72-a07f-bac0efbe9fb9,00:50:56:a6:2e:78,demo,Microsoft Windows Server 2016 Standard,,,,general-purpose,8,28,40,3
Default,192.168.15.126,e8649aa0-03b4-44c7-aba5-a50118837d78,00:50:56:a6:7c:eb,,Microsoft Windows Server 2019 Standard,,,,general-purpose,15,18,18,2
